from_node_id,to_node_id,day_no,start_time_in_min,end_time_in_min,sensor_type,direction,link_count,occupancy,travel_time,avg_speed
15425,15243,1,240,300,link_count,1,760,,,
15425,15243,1,300,360,link_count,1,1986,,,
15425,15243,1,360,420,link_count,1,4784,,,
15425,15243,1,420,480,link_count,1,6630,,,
15425,15243,1,480,540,link_count,1,6154,,,
15425,15243,1,540,600,link_count,1,6140,,,
15425,15243,1,600,660,link_count,1,5257,,,
15425,15243,1,660,720,link_count,1,5126,,,
15425,15243,1,720,780,link_count,1,4652,,,
15425,15243,1,780,840,link_count,1,4946,,,
15425,15243,1,840,900,link_count,1,5519,,,
15425,15243,1,900,960,link_count,1,6931,,,
15425,15243,1,960,1020,link_count,1,6762,,,
15425,15243,1,1020,1080,link_count,1,6394,,,
15425,15243,1,1080,1140,link_count,1,7058,,,
15425,15243,1,1140,1200,link_count,1,5973,,,
15425,15243,1,1200,1260,link_count,1,4570,,,
15425,15243,1,1260,1320,link_count,1,3953,,,
15425,15243,1,1320,1380,link_count,1,3026,,,
15425,15243,1,1380,1440,link_count,1,2146,,,
15245,15426,1,0,60,link_count,1,567,,,
15245,15426,1,60,120,link_count,1,498,,,
15245,15426,1,120,180,link_count,1,642,,,
15245,15426,1,180,240,link_count,1,1327,,,
15245,15426,1,240,300,link_count,1,3866,,,
15245,15426,1,300,360,link_count,1,6844,,,
15245,15426,1,360,420,link_count,1,7514,,,
15245,15426,1,420,480,link_count,1,6684,,,
15245,15426,1,480,540,link_count,1,6180,,,
15245,15426,1,540,600,link_count,1,5585,,,
15245,15426,1,600,660,link_count,1,5584,,,
15245,15426,1,660,720,link_count,1,5525,,,
15245,15426,1,720,780,link_count,1,5656,,,
15245,15426,1,780,840,link_count,1,5840,,,
15245,15426,1,840,900,link_count,1,6498,,,
15245,15426,1,900,960,link_count,1,6524,,,
15245,15426,1,960,1020,link_count,1,6389,,,
15245,15426,1,1020,1080,link_count,1,6436,,,
15245,15426,1,1080,1140,link_count,1,5605,,,
15245,15426,1,1140,1200,link_count,1,4195,,,
15245,15426,1,1200,1260,link_count,1,3444,,,
15245,15426,1,1260,1320,link_count,1,2619,,,
15245,15426,1,1320,1380,link_count,1,1776,,,
15245,15426,1,1380,1440,link_count,1,1010,,,
15441,15430,1,0,60,link_count,1,1394,,,
15441,15430,1,60,120,link_count,1,763,,,
15441,15430,1,120,180,link_count,1,526,,,
15441,15430,1,180,240,link_count,1,528,,,
15441,15430,1,240,300,link_count,1,726,,,
15441,15430,1,300,360,link_count,1,2287,,,
15441,15430,1,360,420,link_count,1,5198,,,
15441,15430,1,420,480,link_count,1,8333,,,
15441,15430,1,480,540,link_count,1,7883,,,
15441,15430,1,540,600,link_count,1,6710,,,
15441,15430,1,600,660,link_count,1,5386,,,
15441,15430,1,660,720,link_count,1,5398,,,
15441,15430,1,720,780,link_count,1,5805,,,
15441,15430,1,780,840,link_count,1,6144,,,
15441,15430,1,840,900,link_count,1,7251,,,
15441,15430,1,900,960,link_count,1,7246,,,
15441,15430,1,960,1020,link_count,1,7033,,,
15441,15430,1,1020,1080,link_count,1,7243,,,
15441,15430,1,1080,1140,link_count,1,7208,,,
15441,15430,1,1140,1200,link_count,1,6007,,,
15441,15430,1,1200,1260,link_count,1,5028,,,
15441,15430,1,1260,1320,link_count,1,4342,,,
15441,15430,1,1320,1380,link_count,1,3181,,,
15441,15430,1,1380,1440,link_count,1,2262,,,
15426,15448,1,0,60,link_count,1,786,,,
